battery_capacity_kWh,avg_speed_kmph,distance_km,temperature_c,humidity_percent,charging_time_hrs,vehicle_weight_kg,driving_mode,terrain_type,ev_energy_demand
78,94,36,14,31,1.79,1745,eco,rural,0
58,25,98,-2,23,1.86,1759,sport,highway,0
64,57,201,44,22,0.69,1657,sport,urban,0
74,66,21,12,57,4.07,1855,normal,rural,0
66,55,187,26,41,1.74,1929,sport,highway,1
71,34,183,27,78,0.78,2312,sport,urban,0
99,42,170,6,50,4.45,1668,normal,highway,0
72,44,271,40,47,3.71,1330,eco,highway,1
82,85,234,-7,40,3.36,1246,normal,highway,1
88,72,259,27,80,2.11,2222,normal,urban,0
79,66,18,24,54,1.1,1174,eco,rural,0
58,87,135,3,27,0.51,2493,sport,rural,0
23,53,112,8,23,2.28,1424,normal,rural,0
55,33,173,19,28,2.16,1120,eco,urban,1
22,89,222,44,47,1.38,2460,normal,rural,0
80,48,288,24,42,4.38,1867,sport,highway,0
43,45,235,20,33,4.68,1368,sport,urban,1
93,22,197,-6,79,4.59,2368,sport,urban,0
30,55,122,16,33,4.59,1362,sport,rural,1
31,93,44,43,70,4.26,1806,sport,rural,0
36,24,99,29,58,3.13,1857,sport,urban,0
31,57,53,41,58,3.16,2147,sport,rural,1
37,37,231,20,47,3.98,1413,normal,highway,0
51,81,55,21,22,1.7,1464,sport,rural,0
56,47,49,-6,40,1.55,1169,eco,urban,1
77,71,175,41,25,4.51,1136,normal,rural,0
21,96,26,33,77,2.23,2306,normal,urban,1
62,41,240,12,86,3.04,1684,sport,highway,0
91,78,166,12,37,1.81,1956,normal,urban,1
23,28,72,-2,89,1.69,2341,eco,urban,0
86,44,107,33,84,3.64,2152,sport,urban,0
29,64,180,13,75,1.77,1095,sport,highway,0
46,81,156,3,49,0.57,1543,sport,urban,0
92,74,34,15,23,2.48,1127,sport,highway,0
55,68,273,24,67,3.91,1618,eco,rural,1
70,51,235,-5,76,4.99,1880,eco,urban,0
21,76,195,-8,69,2.52,1202,sport,highway,0
75,61,278,19,89,2.74,1318,normal,rural,0
33,56,243,30,44,3.78,1937,eco,urban,0
67,85,46,-5,61,3.71,2162,normal,highway,1
97,84,21,37,83,2.93,1582,normal,rural,0
81,68,71,43,33,0.85,1656,normal,rural,0
80,43,96,0,39,2.17,1715,eco,urban,0
78,78,47,44,56,4.58,1150,sport,urban,1
36,27,139,17,28,0.82,2159,normal,highway,1
51,26,49,18,38,1.03,1657,sport,highway,1
78,89,244,22,58,0.71,1493,eco,rural,0
59,62,120,-6,70,2.57,1238,sport,highway,1
96,46,116,22,43,0.54,2472,sport,highway,1
91,20,213,24,74,1.44,1933,normal,rural,0
52,29,235,3,22,4.46,1241,sport,highway,1
68,75,181,-7,46,4.8,2082,eco,urban,0
75,61,278,19,89,2.74,1318,normal,rural,0
39,81,215,12,51,2.12,1548,eco,urban,0
83,41,36,2,39,4.84,1828,normal,highway,0
94,82,98,-9,76,0.83,2432,sport,highway,0
70,97,34,2,61,1.76,1211,eco,rural,1
77,66,203,18,28,2.61,1362,sport,urban,1
68,75,99,25,42,3.68,2198,eco,rural,1
51,50,12,29,47,4.04,1574,eco,highway,0
88,82,13,37,69,3.38,2116,normal,rural,0
49,30,102,10,80,3.98,1108,normal,highway,1
94,74,273,44,66,3.48,2292,normal,highway,0
82,58,23,-1,53,2.64,2018,eco,rural,1
58,70,41,14,54,1.61,1619,normal,highway,0
30,78,197,-3,85,1.93,2014,sport,highway,1
79,94,179,4,64,4.91,1949,sport,rural,1
70,78,225,44,53,2.03,1288,normal,highway,0
88,72,259,27,80,2.11,2222,normal,urban,0
40,60,157,-7,38,2.54,1499,sport,urban,0
29,92,114,18,52,0.54,1629,eco,highway,0
34,86,72,-2,54,1.45,1024,eco,highway,0
74,45,93,11,67,4.13,1092,normal,rural,1
21,32,298,17,80,1.59,2184,sport,urban,1
93,30,61,4,48,1.21,2299,normal,highway,1
90,43,86,39,26,1.72,1648,sport,highway,0
77,75,102,32,84,4.78,1950,eco,urban,1
61,65,70,39,54,0.9,1175,sport,rural,0
69,62,291,39,41,4.64,1559,sport,rural,1
99,57,246,-9,66,2.66,1056,sport,rural,0
20,70,236,3,52,2.24,1801,normal,highway,1
52,39,201,27,43,2.75,1822,normal,rural,1
81,82,89,2,33,2.23,1451,normal,rural,1
75,93,233,-3,60,4.5,1801,sport,rural,0
80,25,67,-4,21,3.46,1859,sport,urban,1
94,83,236,15,42,3.6,1463,normal,highway,1
63,45,154,13,85,2.11,1081,eco,highway,1
64,25,94,35,63,3.8,1533,normal,rural,0
36,24,99,29,58,3.13,1857,sport,urban,0
76,97,154,33,29,2.33,1841,sport,rural,0
87,24,294,-2,22,1.47,1454,sport,urban,0
91,24,48,23,41,4.06,1153,eco,highway,0
20,59,164,-9,34,2.45,1444,sport,urban,1
31,98,287,24,25,3.5,2208,eco,urban,0
72,98,25,11,83,4.75,1229,normal,highway,0
81,68,71,43,33,0.85,1656,normal,rural,0
62,41,240,12,86,3.04,1684,sport,highway,0
55,64,21,11,76,4.87,2143,eco,rural,1
38,74,254,-3,58,3.62,2378,sport,highway,0
47,94,171,43,47,1.06,2200,normal,urban,0
43,45,235,20,33,4.68,1368,sport,urban,1
31,93,44,43,70,4.26,1806,sport,rural,0
26,75,186,28,88,1.4,1099,eco,rural,1
22,47,49,1,80,1.05,1943,eco,urban,1
88,78,251,20,30,0.67,1894,eco,rural,0
79,97,190,1,85,4.13,2449,normal,rural,1
32,68,75,8,74,1.58,1332,eco,highway,0
63,21,270,18,45,4.12,1038,normal,highway,1
47,94,171,43,47,1.06,2200,normal,urban,0
43,54,183,4,79,1.06,1424,eco,highway,0
61,48,131,28,65,1.16,1957,normal,rural,0
89,27,152,39,57,0.54,1018,eco,highway,0
42,97,213,35,27,2.64,1904,normal,rural,0
78,58,124,9,52,2.76,1295,normal,rural,1
36,27,139,17,28,0.82,2159,normal,highway,1
55,41,115,32,57,3.31,1457,normal,highway,0
80,50,192,26,78,3.17,1820,normal,urban,0
48,61,63,-6,76,3.83,1082,eco,rural,0
52,92,184,9,38,3.71,2467,sport,urban,1
53,87,247,34,52,4.92,2030,sport,highway,1
81,48,29,40,56,0.81,2224,eco,rural,0
51,75,260,5,77,1.95,2134,eco,rural,1
77,75,102,32,84,4.78,1950,eco,urban,1
55,37,116,29,65,2.39,2279,eco,urban,0
90,56,229,7,47,4.78,1790,sport,rural,0
72,51,193,38,52,1.87,1857,normal,urban,0
58,87,135,3,27,0.51,2493,sport,rural,0
48,30,156,23,85,0.85,1592,eco,highway,0
69,20,241,20,58,3.89,1299,eco,urban,0
85,52,251,22,34,1.16,2034,sport,highway,0
70,97,34,2,61,1.76,1211,eco,rural,1
77,66,203,18,28,2.61,1362,sport,urban,1
25,55,273,-4,45,0.84,1757,normal,urban,0
81,66,174,25,62,2.74,1347,sport,highway,1
94,66,294,34,55,2.56,1973,sport,highway,1
35,42,211,10,35,4.82,1415,sport,rural,1
52,53,162,13,89,4.52,2475,sport,urban,0
66,45,21,36,31,2.25,1558,sport,urban,0
47,27,215,21,32,4.44,1570,normal,urban,0
35,44,277,30,73,2.43,1941,normal,rural,0
37,67,166,39,68,3.84,1266,eco,urban,0
73,48,132,41,81,2.51,1329,eco,highway,0
27,48,95,35,23,1.38,2019,sport,rural,1
36,60,54,10,84,1.78,1588,eco,urban,1
53,87,247,34,52,4.92,2030,sport,highway,1
34,40,14,38,79,3.82,2160,sport,highway,1
60,23,275,31,28,3.08,1744,normal,urban,1
89,86,177,-6,60,2.99,2361,eco,urban,1
67,63,21,41,38,0.97,1874,sport,rural,1
85,31,250,-3,26,3.26,1261,normal,rural,1
97,55,216,15,31,1.23,1024,sport,highway,0
52,73,249,17,57,3.92,1517,sport,rural,1
91,77,91,10,44,3.78,1922,normal,rural,1
97,76,24,22,43,1.06,2462,eco,urban,1
84,55,89,17,86,1.51,1633,eco,rural,0
86,33,237,18,71,0.51,1456,normal,urban,0
41,29,117,9,65,1.02,1887,sport,rural,0
99,24,202,31,88,4.02,1821,sport,rural,1
79,66,18,24,54,1.1,1174,eco,rural,0
66,55,187,26,41,1.74,1929,sport,highway,1
61,89,20,-9,52,2.68,2041,normal,urban,0
76,34,50,-2,89,2.95,1415,eco,rural,0
75,61,278,19,89,2.74,1318,normal,rural,0
63,36,291,16,23,1.13,1201,eco,urban,1
62,90,11,23,70,3.89,1184,eco,highway,0
55,48,85,24,39,4.83,1937,sport,urban,1
24,21,50,11,59,2.75,2377,normal,urban,1
93,28,254,19,60,2.16,1677,normal,rural,1
82,60,85,1,37,4.9,1387,normal,urban,0
52,66,48,31,83,2.56,1845,sport,rural,1
43,94,140,-10,65,0.63,1541,normal,highway,0
76,81,280,14,58,3.67,2240,sport,rural,1
45,85,236,26,67,2.58,1552,normal,urban,1
56,49,36,14,25,4.89,1661,sport,highway,0
67,85,46,-5,61,3.71,2162,normal,highway,1
48,51,266,34,59,2.46,1643,normal,rural,0
31,71,50,-3,23,4.63,1291,sport,highway,0
39,45,129,36,30,0.72,1987,sport,rural,1
61,89,20,-9,52,2.68,2041,normal,urban,0
76,43,242,-2,46,2.2,1122,sport,highway,1
47,27,215,21,32,4.44,1570,normal,urban,0
43,45,235,20,33,4.68,1368,sport,urban,1
56,21,296,0,70,2.95,1513,normal,rural,1
84,69,150,0,66,1.79,1366,eco,urban,0
36,42,202,16,52,3.71,2063,eco,urban,1
58,97,232,-8,80,1.52,1898,eco,urban,1
31,90,172,-6,20,1.36,1556,normal,highway,1
27,31,62,4,33,1.25,1395,normal,rural,0
56,47,49,-6,40,1.55,1169,eco,urban,1
36,42,202,16,52,3.71,2063,eco,urban,1
55,89,167,23,83,1.61,1294,eco,rural,0
34,40,14,38,79,3.82,2160,sport,highway,1
51,87,11,-7,82,4.15,1205,normal,highway,1
77,35,160,-7,88,1.54,1489,eco,highway,1
75,61,278,19,89,2.74,1318,normal,rural,0
81,61,74,38,73,2.01,2230,normal,urban,0
73,68,93,25,82,1.7,1152,normal,highway,0
52,23,24,17,49,0.58,1075,normal,rural,1
95,58,248,13,54,4.42,1798,sport,highway,1
34,24,115,26,33,3.34,1194,normal,rural,1
52,40,186,18,86,2.75,2387,eco,highway,0
26,32,279,-3,46,4.4,1039,sport,rural,1
97,76,24,22,43,1.06,2462,eco,urban,1
56,96,196,15,54,2.8,1265,eco,highway,1
35,25,242,15,85,3.35,2358,eco,urban,1
44,59,215,3,81,2.83,1824,eco,highway,1
36,85,81,40,41,2.56,2270,normal,highway,1
36,85,81,40,41,2.56,2270,normal,highway,1
43,87,219,38,31,2.12,2230,normal,rural,0
81,61,74,38,73,2.01,2230,normal,urban,0
20,80,107,6,87,2.85,2294,sport,rural,1
99,57,246,-9,66,2.66,1056,sport,rural,0
64,76,274,35,86,1.23,1768,sport,highway,1
48,57,260,17,74,4.39,2131,normal,highway,1
79,94,179,4,64,4.91,1949,sport,rural,1
34,40,14,38,79,3.82,2160,sport,highway,1
87,53,68,29,68,1.14,1274,normal,highway,1
57,32,226,28,20,0.64,2424,eco,highway,0
47,92,169,-5,89,2.07,1689,eco,urban,0
81,69,107,36,79,3.75,1207,normal,urban,0
95,28,31,-1,28,4.51,1311,normal,rural,0
52,70,109,10,70,0.7,1533,eco,urban,1
77,95,276,10,51,2.73,1160,eco,rural,1
32,41,141,40,64,2.58,1684,normal,rural,0
39,45,237,32,43,1.56,1901,normal,rural,0
67,84,180,24,68,4.41,1165,sport,rural,1
76,40,150,16,66,2.28,1892,eco,rural,1
81,30,66,31,73,4.83,2473,sport,rural,1
51,57,223,18,70,4.88,1652,normal,highway,0
69,96,146,25,23,4.46,2341,normal,rural,1
48,40,102,42,49,3.91,2167,sport,urban,0
27,97,95,26,79,2.5,1016,eco,highway,0
38,91,197,10,66,4.3,1294,normal,urban,0
43,54,183,4,79,1.06,1424,eco,highway,0
63,87,225,29,77,4.2,1337,normal,highway,0
86,33,237,18,71,0.51,1456,normal,urban,0
40,60,157,-7,38,2.54,1499,sport,urban,0
73,78,278,11,59,2.81,1238,eco,urban,0
73,91,282,9,52,2.07,1894,normal,rural,0
91,69,45,38,22,1.48,2202,sport,highway,0
37,65,52,11,53,4.18,1055,sport,rural,0
71,86,135,14,20,0.5,2465,eco,highway,0
58,85,168,10,54,4.22,1060,sport,rural,1
52,36,102,7,72,3.77,2363,eco,urban,1
86,33,237,18,71,0.51,1456,normal,urban,0
25,79,88,-7,69,2.85,2062,eco,rural,1
77,42,23,-1,33,4.92,1639,normal,rural,1
99,90,163,21,67,0.55,1607,normal,urban,1
20,94,98,19,57,4.13,1998,sport,urban,1
70,29,298,28,76,2.25,1757,normal,urban,0
47,74,145,2,30,4.09,1479,eco,rural,0
70,54,30,22,20,2.82,1051,sport,urban,1
95,58,248,13,54,4.42,1798,sport,highway,1
71,46,260,44,22,2.96,1204,sport,highway,0
67,36,93,7,51,1.4,1282,normal,urban,1
21,81,69,7,22,0.52,1062,eco,rural,1
68,75,99,25,42,3.68,2198,eco,rural,1
98,44,157,-8,58,1.75,1413,eco,urban,0
33,29,108,10,59,3.23,1620,normal,urban,1
86,94,91,25,68,1.92,1795,eco,highway,0
53,87,247,34,52,4.92,2030,sport,highway,1
38,76,271,2,84,1.5,1658,normal,rural,1
66,42,126,32,66,4.31,1671,eco,urban,1
79,64,232,17,44,1.59,1945,sport,rural,1
51,45,228,4,42,4.78,2237,sport,highway,0
33,56,243,30,44,3.78,1937,eco,urban,0
78,20,108,-3,43,3.95,1617,sport,highway,1
63,87,225,29,77,4.2,1337,normal,highway,0
84,42,20,21,88,0.59,2338,eco,urban,1
74,66,21,12,57,4.07,1855,normal,rural,0
58,34,59,30,39,3.97,1498,eco,urban,0
30,55,122,16,33,4.59,1362,sport,rural,1
42,82,81,-9,77,0.61,2395,sport,rural,0
81,85,149,-7,61,2.52,2177,eco,highway,1
32,74,291,32,68,4.73,1249,eco,highway,1
28,75,179,33,34,2.31,1376,normal,highway,1
43,70,175,21,60,3.41,2262,eco,highway,1
55,89,167,23,83,1.61,1294,eco,rural,0
84,52,23,-3,47,3.1,1731,sport,highway,1
38,59,86,9,31,4.7,2245,normal,urban,0
80,53,207,21,78,1.99,2337,eco,rural,1
59,66,219,10,77,1.74,1218,sport,urban,0
67,24,182,10,71,3.06,2337,normal,highway,0
36,42,202,16,52,3.71,2063,eco,urban,1
35,55,36,40,79,1.89,1298,normal,highway,0
66,45,21,36,31,2.25,1558,sport,urban,0
72,52,210,20,27,4.84,1330,sport,highway,1
97,76,24,22,43,1.06,2462,eco,urban,1
61,65,70,39,54,0.9,1175,sport,rural,0
72,51,193,38,52,1.87,1857,normal,urban,0
79,61,188,12,66,4.03,1637,normal,highway,1
90,89,18,10,49,3.46,1045,sport,highway,0
68,21,116,18,47,4.85,1454,normal,highway,0
74,45,93,11,67,4.13,1092,normal,rural,1
43,54,183,4,79,1.06,1424,eco,highway,0
87,70,89,12,27,1.77,1058,normal,rural,0
66,55,187,26,41,1.74,1929,sport,highway,1
26,98,83,12,82,2.24,2275,normal,highway,1
71,86,135,14,20,0.5,2465,eco,highway,0
81,30,66,31,73,4.83,2473,sport,rural,1
91,93,151,38,29,4.34,1507,eco,rural,0
64,25,94,35,63,3.8,1533,normal,rural,0
31,90,172,-6,20,1.36,1556,normal,highway,1
95,51,68,-1,74,3.97,1484,normal,rural,1
42,85,232,0,77,0.9,1741,normal,urban,0
54,83,217,14,44,2.59,2236,eco,highway,1
21,32,298,17,80,1.59,2184,sport,urban,1
64,57,201,44,22,0.69,1657,sport,urban,0
51,37,101,9,58,2.84,1638,sport,highway,0
20,60,195,30,64,4.32,1428,sport,urban,0
77,42,46,44,22,3.38,2023,eco,rural,0
78,58,124,9,52,2.76,1295,normal,rural,1
55,49,142,40,33,3.11,1842,sport,urban,1
79,22,68,13,43,0.76,1337,eco,highway,1
28,98,105,-2,64,3.93,2332,sport,urban,0
61,86,252,-3,20,4.81,1283,sport,highway,0
80,49,185,39,35,0.96,1504,sport,rural,0
67,25,202,35,70,0.78,2088,sport,rural,1
52,23,24,17,49,0.58,1075,normal,rural,1
83,28,172,35,78,2.36,2385,eco,highway,0
21,81,224,-1,22,3.06,2105,normal,rural,1
54,49,194,-4,66,4.91,1480,eco,rural,1
83,41,36,2,39,4.84,1828,normal,highway,0
36,82,139,3,89,2.28,1139,eco,urban,0
87,24,294,-2,22,1.47,1454,sport,urban,0
94,66,294,34,55,2.56,1973,sport,highway,1
57,25,190,9,24,1.1,1503,eco,urban,0
23,24,152,-1,29,1.38,2052,eco,urban,0
68,29,128,19,40,4.15,2452,normal,rural,0
79,25,51,-4,84,0.61,1516,sport,urban,1
59,48,93,4,41,4.04,1824,eco,highway,1
54,20,279,39,64,2.7,1517,normal,urban,0
94,82,98,-9,76,0.83,2432,sport,highway,0
55,72,82,14,46,3.21,1735,normal,highway,1
82,60,85,1,37,4.9,1387,normal,urban,0
35,55,36,40,79,1.89,1298,normal,highway,0
37,88,277,4,39,1.67,1403,sport,rural,0
51,57,223,18,70,4.88,1652,normal,highway,0
40,88,34,38,23,3.9,1568,normal,highway,0
51,40,186,21,55,3.96,2260,normal,urban,1
27,31,62,4,33,1.25,1395,normal,rural,0
88,94,205,11,58,4.85,2228,sport,rural,0
71,77,298,7,80,3.23,2014,normal,urban,1
57,86,151,-1,29,3.69,2201,eco,urban,0
76,40,150,16,66,2.28,1892,eco,rural,1
47,29,74,43,35,4.8,2466,eco,highway,0
26,21,84,24,67,1.92,2152,normal,rural,0
56,21,296,0,70,2.95,1513,normal,rural,1
77,45,252,38,27,1.95,1961,normal,highway,0
69,62,291,39,41,4.64,1559,sport,rural,1
51,87,11,-7,82,4.15,1205,normal,highway,1
38,59,86,9,31,4.7,2245,normal,urban,0
72,52,210,20,27,4.84,1330,sport,highway,1
81,32,163,28,36,4.63,2405,eco,rural,1
52,40,186,18,86,2.75,2387,eco,highway,0
42,85,232,0,77,0.9,1741,normal,urban,0
20,35,208,25,40,3.62,1916,eco,highway,1
21,96,26,33,77,2.23,2306,normal,urban,1
62,90,11,23,70,3.89,1184,eco,highway,0
91,20,213,24,74,1.44,1933,normal,rural,0
76,34,50,-2,89,2.95,1415,eco,rural,0
22,27,38,19,89,4.08,1914,eco,rural,0
58,34,90,6,38,2.11,1068,eco,urban,0
63,46,119,-3,86,2.21,1391,sport,rural,1
81,33,18,25,67,1.83,2064,normal,rural,0
90,43,86,39,26,1.72,1648,sport,highway,0
23,59,280,-5,87,0.54,1880,eco,urban,1
73,48,132,41,81,2.51,1329,eco,highway,0
48,30,156,23,85,0.85,1592,eco,highway,0
71,74,21,34,40,4.29,1567,eco,highway,1
52,40,186,18,86,2.75,2387,eco,highway,0
49,43,245,14,65,0.76,1060,sport,highway,1
69,86,298,39,53,2.63,1757,normal,rural,1
38,93,98,14,22,3.92,1061,sport,urban,0
57,83,260,13,66,2.16,2408,normal,highway,1
77,71,175,41,25,4.51,1136,normal,rural,0
20,60,195,30,64,4.32,1428,sport,urban,0
27,88,167,26,83,3.07,2474,sport,rural,0
77,52,299,1,87,1.96,2082,normal,rural,1
66,74,71,28,83,2.65,1661,eco,urban,0
36,60,54,10,84,1.78,1588,eco,urban,1
88,94,205,11,58,4.85,2228,sport,rural,0
35,53,194,4,80,0.75,1726,sport,rural,0
27,98,245,24,39,4.4,1072,eco,rural,0
32,82,216,8,83,1.99,1718,eco,rural,1
71,26,185,31,40,2.64,2459,eco,urban,0
39,45,237,32,43,1.56,1901,normal,rural,0
52,92,184,9,38,3.71,2467,sport,urban,1
66,55,187,26,41,1.74,1929,sport,highway,1
30,78,197,-3,85,1.93,2014,sport,highway,1
81,68,26,34,77,1.8,1196,eco,urban,1
80,43,96,0,39,2.17,1715,eco,urban,0
50,43,178,3,57,3.71,1383,eco,highway,1
74,45,93,11,67,4.13,1092,normal,rural,1
32,82,216,8,83,1.99,1718,eco,rural,1
52,92,184,9,38,3.71,2467,sport,urban,1
31,36,167,0,69,2.48,1257,normal,highway,1
77,66,203,18,28,2.61,1362,sport,urban,1
95,58,248,13,54,4.42,1798,sport,highway,1
53,88,155,28,22,4.31,1412,sport,urban,0
