Vehicle_ID,Battery_Type,Vehicle_Type,Ambient_Temperature,Distance_Driven_km,State_of_Charge_%,Battery_Capacity_kWh,Current_Speed_kmph,Energy_Consumed_kWh,Predicted_Value
EV0756,LiFePO4,Sedan,28.8,365.6,3.1,33.4,67.2,73.12,in demand
EV1756,Li-ion,SUV,9.0,439.9,15.4,80.0,52.3,87.98,in demand
EV2516,NiMH,Hatchback,35.0,270.8,57.9,23.1,30.3,54.16,in demand
EV0126,Li-ion,SUV,18.8,347.6,5.2,25.3,27.4,69.52,in demand
EV3249,NiMH,Truck,-2.2,19.2,89.8,63.7,26.3,3.84,not in demand
EV2779,Li-ion,Truck,4.5,62.3,32.2,39.9,81.1,12.46,not in demand
EV2100,NiMH,Hatchback,-4.4,54.7,30.6,66.2,63.6,10.94,not in demand
EV0628,NiMH,SUV,4.3,363.3,76.8,41.1,40.5,72.66,in demand
EV3387,NiMH,Truck,19.9,158.5,13.9,80.1,5.4,31.7,not in demand
EV0030,LiFePO4,SUV,30.0,338.2,95.7,67.0,69.9,67.64,in demand
EV0066,NiMH,Truck,34.8,55.1,75.7,21.8,6.2,11.02,not in demand
EV0839,NiMH,SUV,16.8,15.2,51.8,56.8,66.6,3.04,not in demand
EV1391,Li-ion,Sedan,34.9,386.8,38.4,39.2,80.7,77.36,in demand
EV0342,NiMH,Truck,8.3,488.7,13.1,50.9,64.7,97.74,in demand
EV1824,LiFePO4,Hatchback,11.0,448.3,24.4,60.5,32.8,89.66,in demand
EV3162,LiFePO4,Hatchback,41.1,362.3,53.4,44.4,71.4,72.46,in demand
EV2660,LiFePO4,Truck,-3.7,161.2,57.7,56.1,2.4,32.24,not in demand
EV1427,NiMH,SUV,24.6,299.3,87.2,69.8,22.6,59.86,in demand
EV2567,LiFePO4,Truck,-6.4,217.1,38.2,78.3,89.0,43.42,in demand
EV2452,Li-ion,Truck,8.5,149.8,92.4,80.8,43.9,29.96,not in demand
EV2847,Li-ion,SUV,11.1,216.5,28.6,79.8,3.1,43.3,in demand
EV1145,NiMH,Hatchback,41.4,240.3,60.5,65.7,104.5,48.06,in demand
EV3079,NiMH,Truck,39.8,230.9,12.7,74.5,93.1,46.18,in demand
EV1104,NiMH,SUV,-8.2,3.0,85.2,66.9,67.7,0.6,not in demand
EV0169,Li-ion,SUV,38.0,7.3,3.4,42.0,67.2,1.46,not in demand
EV1671,Li-ion,SUV,14.7,217.3,29.9,75.1,81.1,43.46,in demand
EV2571,LiFePO4,Sedan,34.5,414.0,18.0,23.2,14.8,82.8,in demand
EV2378,LiFePO4,Hatchback,42.1,151.9,30.0,67.2,82.7,30.38,not in demand
EV1141,LiFePO4,SUV,-5.7,403.2,17.6,48.7,104.8,80.64,in demand
EV2503,NiMH,Sedan,16.6,489.3,15.6,62.5,95.9,97.86,in demand
EV0511,LiFePO4,Hatchback,34.7,381.5,31.8,52.0,70.1,76.3,in demand
EV0024,NiMH,Hatchback,-3.0,19.5,17.2,48.1,55.3,3.9,not in demand
EV2634,NiMH,Hatchback,21.6,315.5,51.1,64.9,72.5,63.1,in demand
EV3341,Li-ion,Truck,0.1,148.4,45.5,50.5,102.0,29.68,not in demand
EV2216,Li-ion,Truck,-9.3,128.2,17.7,47.4,118.9,25.64,not in demand
EV3470,Li-ion,SUV,-8.4,125.8,84.9,39.6,36.0,25.16,not in demand
EV0147,LiFePO4,Truck,35.8,363.5,54.4,35.1,105.7,72.7,in demand
EV1908,Li-ion,Hatchback,7.8,232.4,48.2,59.4,5.6,46.48,in demand
EV0085,Li-ion,Truck,39.0,467.1,37.2,24.1,98.2,93.42,in demand
EV0228,LiFePO4,Hatchback,15.8,35.2,64.0,37.5,38.7,7.04,not in demand
EV0297,NiMH,Hatchback,40.5,472.5,43.6,42.3,33.1,94.5,in demand
EV1002,LiFePO4,Truck,11.1,300.7,32.5,20.3,24.0,60.14,in demand
EV2139,Li-ion,Sedan,17.7,228.8,85.0,50.2,46.4,45.76,in demand
EV0712,NiMH,Hatchback,31.8,120.1,66.7,98.7,9.7,24.02,not in demand
EV2802,Li-ion,SUV,35.9,235.3,72.4,59.6,20.6,47.06,in demand
EV2528,Li-ion,Sedan,1.0,479.1,25.2,20.1,72.9,95.82,in demand
EV2300,Li-ion,Hatchback,25.7,100.2,36.6,83.7,87.6,20.04,not in demand
EV3322,NiMH,Truck,18.4,147.0,61.0,39.3,96.3,29.4,not in demand
EV3182,Li-ion,Truck,-1.9,1.1,82.1,69.2,10.9,0.22,not in demand
EV2728,NiMH,Truck,22.9,395.1,95.1,75.9,81.0,79.02,in demand
EV1616,Li-ion,Sedan,0.8,350.4,47.6,41.1,72.2,70.08,in demand
EV3025,LiFePO4,Truck,7.1,198.6,75.0,86.4,21.7,39.72,not in demand
EV1414,Li-ion,Hatchback,41.1,279.6,93.7,37.2,104.6,55.92,in demand
EV0764,NiMH,Hatchback,24.6,416.7,79.0,98.3,95.3,83.34,in demand
EV0656,NiMH,Hatchback,5.1,333.9,89.3,84.8,53.9,66.78,in demand
EV1183,Li-ion,Truck,43.5,267.6,4.1,92.9,100.2,53.52,in demand
EV1001,LiFePO4,SUV,13.4,368.4,77.3,50.4,107.7,73.68,in demand
EV2955,LiFePO4,SUV,27.9,329.4,93.4,69.6,17.4,65.88,in demand
EV0469,Li-ion,SUV,30.5,430.0,33.6,21.0,108.6,86.0,in demand
EV0158,Li-ion,SUV,21.9,460.7,34.7,87.4,24.2,92.14,in demand
EV1296,Li-ion,SUV,36.5,30.5,82.4,53.3,84.3,6.1,not in demand
EV0498,Li-ion,Hatchback,43.1,114.9,52.6,65.6,7.3,22.98,not in demand
EV1652,Li-ion,Truck,13.4,256.7,76.3,73.2,63.2,51.34,in demand
EV2941,LiFePO4,SUV,4.3,426.7,7.8,38.8,117.8,85.34,in demand
EV3457,LiFePO4,Truck,41.8,386.4,75.5,95.6,60.9,77.28,in demand
EV0374,NiMH,Truck,32.3,64.3,93.1,32.7,37.9,12.86,not in demand
EV0080,NiMH,Hatchback,35.6,87.3,62.2,90.1,8.0,17.46,not in demand
EV1554,NiMH,Truck,44.7,316.5,24.1,30.6,68.7,63.3,in demand
EV1670,LiFePO4,Sedan,-4.6,386.1,73.0,70.7,41.0,77.22,in demand
EV2132,NiMH,Sedan,34.5,389.5,87.1,70.1,9.6,77.9,in demand
EV1697,LiFePO4,Sedan,-9.6,233.7,43.0,83.6,107.8,46.74,in demand
EV0466,LiFePO4,Sedan,38.7,91.6,33.8,56.1,31.9,18.32,not in demand
EV0249,NiMH,Truck,39.8,205.6,91.7,90.9,90.1,41.12,in demand
EV0932,LiFePO4,Sedan,4.6,330.7,80.7,24.9,12.9,66.14,in demand
EV1336,NiMH,Hatchback,33.2,296.2,55.6,98.6,100.1,59.24,in demand
EV2120,Li-ion,Hatchback,38.9,109.0,21.7,78.4,10.8,21.8,not in demand
EV1339,Li-ion,Hatchback,36.7,54.1,65.2,23.8,55.1,10.82,not in demand
EV1407,NiMH,SUV,-0.4,187.0,82.1,91.2,18.6,37.4,not in demand
EV1091,LiFePO4,Sedan,-3.4,493.6,51.9,67.2,46.2,98.72,in demand
EV2295,Li-ion,Sedan,18.0,185.0,87.2,42.7,21.5,37.0,not in demand
EV0743,LiFePO4,Sedan,-3.5,283.1,83.9,57.3,39.9,56.62,in demand
EV2324,NiMH,Hatchback,7.1,74.9,7.1,23.9,94.9,14.98,not in demand
EV1396,NiMH,Sedan,-4.3,417.9,50.7,37.7,70.7,83.58,in demand
EV2124,LiFePO4,Truck,-4.2,239.5,48.6,94.1,93.4,47.9,in demand
EV2095,LiFePO4,SUV,-9.1,231.2,6.7,61.4,37.1,46.24,in demand
EV0241,Li-ion,SUV,9.3,406.8,68.9,73.6,65.9,81.36,in demand
EV2352,NiMH,Truck,26.1,418.5,37.7,95.8,92.9,83.7,in demand
EV1371,NiMH,Sedan,6.7,319.2,79.7,54.1,81.8,63.84,in demand
EV1058,Li-ion,Truck,4.9,203.9,73.7,41.7,72.7,40.78,in demand
EV2851,LiFePO4,Truck,19.6,311.7,94.9,85.9,119.2,62.34,in demand
EV0200,Li-ion,SUV,19.1,131.8,90.5,56.4,66.4,26.36,not in demand
EV2281,LiFePO4,Sedan,0.6,356.1,78.6,65.3,32.7,71.22,in demand
EV2103,Li-ion,Hatchback,-9.9,383.6,82.2,47.3,27.0,76.72,in demand
EV2221,LiFePO4,Truck,16.6,16.0,74.7,86.6,60.4,3.2,not in demand
EV0105,LiFePO4,Sedan,27.1,231.0,56.9,41.5,75.9,46.2,in demand
EV2820,Li-ion,Truck,-6.2,281.4,58.2,62.3,54.9,56.28,in demand
EV3151,NiMH,Truck,-8.8,22.2,94.8,75.7,93.3,4.44,not in demand
EV0487,NiMH,Hatchback,24.1,266.4,57.2,92.1,75.7,53.28,in demand
EV3108,NiMH,Truck,4.6,66.7,54.2,57.2,6.8,13.34,not in demand
EV1974,NiMH,Sedan,40.0,355.0,23.3,32.4,114.0,71.0,in demand
EV1376,NiMH,Truck,-5.0,265.8,34.9,41.2,106.7,53.16,in demand
EV1899,Li-ion,Hatchback,8.8,318.8,77.8,26.0,82.1,63.76,in demand
EV2962,Li-ion,Truck,15.7,63.6,54.9,50.6,74.5,12.72,not in demand
EV0574,Li-ion,SUV,41.3,45.6,4.4,58.0,72.7,9.12,not in demand
EV1588,LiFePO4,SUV,32.6,4.3,16.7,40.0,26.7,0.86,not in demand
EV0965,Li-ion,SUV,37.1,281.5,40.4,57.6,68.0,56.3,in demand
EV0180,Li-ion,Hatchback,-2.6,235.0,75.9,63.0,20.7,47.0,in demand
EV3115,Li-ion,Hatchback,17.0,416.4,25.7,32.2,5.0,83.28,in demand
EV3305,NiMH,Hatchback,34.7,151.4,11.7,93.9,2.7,30.28,not in demand
EV0824,NiMH,Sedan,6.6,477.6,13.0,28.3,65.2,95.52,in demand
EV1533,LiFePO4,Truck,29.6,480.5,42.0,38.1,61.5,96.1,in demand
EV0370,LiFePO4,Hatchback,24.0,293.2,55.7,62.9,103.2,58.64,in demand
EV3239,LiFePO4,Truck,21.7,484.6,53.9,50.1,114.7,96.92,in demand
EV2975,Li-ion,Truck,8.6,262.4,30.0,90.3,48.5,52.48,in demand
EV0996,NiMH,Sedan,10.8,388.0,7.0,56.5,84.6,77.6,in demand
EV2888,NiMH,Sedan,-2.7,479.3,76.2,46.6,85.3,95.86,in demand
EV2576,NiMH,Hatchback,41.3,202.3,25.4,65.6,70.7,40.46,in demand
EV1420,Li-ion,Sedan,6.4,463.8,37.4,68.7,37.2,92.76,in demand
EV1540,LiFePO4,SUV,31.4,267.6,32.2,72.2,76.3,53.52,in demand
EV2013,Li-ion,Hatchback,5.5,245.1,37.5,53.2,72.3,49.02,in demand
EV3382,NiMH,SUV,-8.9,79.4,54.4,76.0,117.8,15.88,not in demand
EV1861,LiFePO4,SUV,25.8,141.5,11.9,68.8,84.3,28.3,not in demand
EV0009,LiFePO4,Sedan,16.5,152.3,99.3,28.2,59.1,30.46,not in demand
EV2895,LiFePO4,Truck,38.3,51.9,68.3,48.5,39.7,10.38,not in demand
EV2848,NiMH,SUV,31.6,72.1,91.7,96.6,118.0,14.42,not in demand
EV3253,LiFePO4,SUV,13.4,275.0,71.0,88.7,54.4,55.0,in demand
EV0145,Li-ion,Hatchback,40.8,281.9,46.1,84.0,8.0,56.38,in demand
EV2105,NiMH,Truck,-2.2,450.1,31.7,32.0,102.8,90.02,in demand
EV3144,Li-ion,Sedan,10.2,428.3,76.2,47.4,98.4,85.66,in demand
EV0842,Li-ion,Hatchback,24.3,133.1,68.6,25.4,47.5,26.62,not in demand
EV1129,Li-ion,Sedan,2.7,411.8,33.1,74.9,48.7,82.36,in demand
EV0152,Li-ion,Truck,27.2,402.9,34.3,94.0,93.3,80.58,in demand
EV2816,LiFePO4,Truck,5.1,283.9,51.6,31.5,74.2,56.78,in demand
EV1053,NiMH,Truck,34.1,276.7,20.9,53.3,1.3,55.34,in demand
EV1591,Li-ion,Truck,-7.4,83.7,44.0,22.8,100.3,16.74,not in demand
EV3009,LiFePO4,SUV,43.2,281.9,40.6,87.9,49.0,56.38,in demand
EV2030,LiFePO4,SUV,1.1,139.4,14.7,82.4,49.1,27.88,not in demand
EV3419,Li-ion,Truck,0.2,46.0,32.2,59.6,91.4,9.2,not in demand
EV1808,NiMH,Sedan,16.8,263.3,33.3,52.8,32.6,52.66,in demand
EV2697,Li-ion,Sedan,37.4,477.8,92.9,59.7,92.8,95.56,in demand
EV3040,Li-ion,Sedan,40.1,308.6,52.1,56.9,115.8,61.72,in demand
EV0473,LiFePO4,Truck,7.6,469.0,4.6,35.4,60.8,93.8,in demand
EV3290,LiFePO4,Hatchback,17.6,217.9,66.1,81.0,13.1,43.58,in demand
EV2066,NiMH,Truck,31.0,451.1,53.0,74.9,44.2,90.22,in demand
EV3497,LiFePO4,Truck,35.4,52.6,85.9,81.4,95.0,10.52,not in demand
EV0280,Li-ion,SUV,3.4,388.2,57.8,62.1,69.4,77.64,in demand
EV1742,Li-ion,Sedan,37.2,265.1,62.5,94.1,96.1,53.02,in demand
EV3197,NiMH,Truck,42.2,448.7,97.8,33.9,105.9,89.74,in demand
EV2887,Li-ion,Hatchback,9.4,249.4,4.0,67.2,67.6,49.88,in demand
EV1942,NiMH,Truck,28.3,113.7,29.9,84.6,67.8,22.74,not in demand
EV0101,LiFePO4,Hatchback,13.4,70.8,35.2,51.4,19.7,14.16,not in demand
EV2805,Li-ion,Sedan,-3.9,166.5,4.8,31.3,5.4,33.3,not in demand
EV0379,Li-ion,SUV,13.9,117.0,40.2,40.0,91.1,23.4,not in demand
EV1042,LiFePO4,Sedan,39.8,271.3,23.2,59.0,49.5,54.26,in demand
EV0242,Li-ion,Hatchback,23.6,17.9,92.4,41.5,89.3,3.58,not in demand
EV0531,LiFePO4,SUV,5.1,339.6,7.0,28.9,5.4,67.92,in demand
EV1887,NiMH,Truck,10.7,38.9,5.2,91.3,8.4,7.78,not in demand
EV0682,NiMH,SUV,-3.3,66.9,15.1,93.3,114.3,13.38,not in demand
EV1262,Li-ion,Hatchback,42.6,72.1,54.7,40.2,21.9,14.42,not in demand
EV1977,LiFePO4,Truck,20.7,421.6,38.2,23.4,68.6,84.32,in demand
EV3415,NiMH,Hatchback,27.5,70.3,90.7,97.4,56.0,14.06,not in demand
EV2019,LiFePO4,SUV,22.1,429.6,3.2,91.1,118.4,85.92,in demand
EV1097,NiMH,Truck,-4.5,154.7,82.1,43.2,82.5,30.94,not in demand
EV0830,NiMH,Hatchback,17.6,236.6,68.6,83.3,108.0,47.32,in demand
EV2806,NiMH,Truck,-3.7,200.0,37.2,55.0,83.1,40.0,not in demand
EV3456,Li-ion,Sedan,3.1,245.2,68.0,46.7,40.2,49.04,in demand
EV0696,NiMH,Truck,43.8,451.7,73.9,52.1,92.8,90.34,in demand
EV2688,LiFePO4,Sedan,22.3,400.2,20.7,77.2,70.5,80.04,in demand
EV0765,Li-ion,Sedan,24.8,174.0,40.7,62.6,4.0,34.8,not in demand
EV2768,LiFePO4,Hatchback,24.6,78.4,51.1,77.3,111.4,15.68,not in demand
EV0658,LiFePO4,Hatchback,-5.5,195.4,88.7,49.0,55.9,39.08,not in demand
EV3296,Li-ion,Hatchback,39.2,322.4,92.0,93.2,68.9,64.48,in demand
EV2195,Li-ion,Truck,-2.2,329.4,72.0,68.1,90.0,65.88,in demand
EV2358,NiMH,SUV,5.8,235.1,80.0,97.0,92.9,47.02,in demand
EV3426,Li-ion,Hatchback,20.2,96.7,15.4,99.0,11.5,19.34,not in demand
EV2555,Li-ion,Sedan,4.5,447.1,35.5,43.4,9.8,89.42,in demand
EV0912,Li-ion,SUV,22.1,463.5,72.0,67.1,10.2,92.7,in demand
EV3146,LiFePO4,Hatchback,28.3,391.6,14.9,76.7,64.1,78.32,in demand
EV1000,Li-ion,Sedan,12.1,72.5,63.4,25.2,8.2,14.5,not in demand
EV0317,NiMH,Hatchback,41.0,405.5,89.0,42.2,44.6,81.1,in demand
EV2484,Li-ion,Truck,43.6,64.5,65.6,78.1,82.1,12.9,not in demand
EV2943,NiMH,Sedan,15.0,151.2,32.1,71.5,93.3,30.24,not in demand
EV2371,NiMH,Sedan,38.6,385.0,6.5,66.7,55.6,77.0,in demand
EV2077,NiMH,Hatchback,21.2,289.5,5.9,83.3,55.7,57.9,in demand
EV0034,NiMH,Hatchback,6.9,340.5,88.9,46.0,48.8,68.1,in demand
EV0104,Li-ion,Hatchback,32.9,63.4,18.9,70.0,56.3,12.68,not in demand
EV1021,LiFePO4,Sedan,18.4,211.8,93.2,72.6,49.0,42.36,in demand
EV1648,LiFePO4,SUV,-0.5,63.2,8.3,90.3,30.1,12.64,not in demand
EV0734,NiMH,Hatchback,14.5,105.5,80.6,98.5,79.4,21.1,not in demand
EV1198,NiMH,Sedan,-3.1,56.8,38.0,40.5,94.9,11.36,not in demand
EV3275,NiMH,Hatchback,-1.5,98.1,25.8,91.0,80.4,19.62,not in demand
EV1621,NiMH,Truck,20.0,398.1,64.0,39.6,46.6,79.62,in demand
EV3136,Li-ion,Hatchback,20.1,365.7,69.0,88.2,17.3,73.14,in demand
EV2690,NiMH,Truck,13.4,498.5,21.6,54.9,108.7,99.7,in demand
EV2708,Li-ion,Sedan,-1.9,125.5,97.8,30.3,80.8,25.1,not in demand
EV0298,NiMH,SUV,32.8,240.9,98.1,36.3,59.9,48.18,in demand
EV2340,LiFePO4,Truck,30.4,283.9,20.4,33.2,11.3,56.78,in demand
EV0654,LiFePO4,SUV,2.8,342.2,3.8,53.8,67.4,68.44,in demand
EV1287,LiFePO4,Sedan,8.6,457.5,69.3,48.3,90.1,91.5,in demand
EV1256,LiFePO4,Sedan,-8.7,256.0,12.0,22.6,64.1,51.2,in demand
EV1022,NiMH,SUV,5.7,285.8,70.7,65.6,99.2,57.16,in demand
EV0231,LiFePO4,Sedan,-9.4,270.5,1.3,85.3,30.7,54.1,in demand
EV3277,Li-ion,Sedan,18.3,322.9,77.5,71.2,20.2,64.58,in demand
EV3231,LiFePO4,Sedan,23.4,204.0,95.9,73.0,116.5,40.8,in demand
EV0692,Li-ion,SUV,-6.6,361.5,70.4,51.5,3.5,72.3,in demand
EV2755,NiMH,Hatchback,36.1,436.7,83.1,49.3,108.9,87.34,in demand
EV1234,NiMH,Sedan,35.1,68.4,6.8,85.1,76.6,13.68,not in demand
EV0970,NiMH,Hatchback,39.1,209.7,21.2,44.4,11.3,41.94,in demand
EV0634,NiMH,Hatchback,-4.2,84.1,97.4,97.6,100.0,16.82,not in demand
EV3364,Li-ion,Sedan,-4.8,472.9,53.2,76.3,85.6,94.58,in demand
EV0238,NiMH,Sedan,-9.3,196.2,6.8,43.8,37.7,39.24,not in demand
EV1322,LiFePO4,Truck,2.7,402.5,39.2,47.2,11.3,80.5,in demand
EV1832,Li-ion,Truck,42.9,187.6,91.8,52.8,6.7,37.52,not in demand
EV2179,LiFePO4,Hatchback,41.7,238.4,43.2,49.5,27.6,47.68,in demand
EV1418,NiMH,SUV,14.5,59.2,8.0,46.0,37.7,11.84,not in demand
EV1783,LiFePO4,Truck,21.8,389.0,96.6,36.5,21.5,77.8,in demand
EV2292,LiFePO4,SUV,25.5,482.2,7.9,65.9,12.0,96.44,in demand
EV3000,NiMH,SUV,16.5,281.5,80.9,40.1,69.6,56.3,in demand
EV2183,LiFePO4,Truck,36.0,340.7,41.9,97.6,52.6,68.14,in demand
EV1653,LiFePO4,Sedan,8.8,69.6,36.7,82.8,100.8,13.92,not in demand
EV1484,Li-ion,SUV,18.3,418.0,16.2,48.1,79.9,83.6,in demand
EV2276,NiMH,SUV,24.8,167.5,73.8,77.4,33.2,33.5,not in demand
EV0878,NiMH,Truck,23.7,482.0,44.4,92.8,46.4,96.4,in demand
EV2497,Li-ion,Sedan,5.8,31.5,16.0,62.0,8.4,6.3,not in demand
EV2017,NiMH,Sedan,-3.2,121.9,80.2,35.0,69.0,24.38,not in demand
EV0427,NiMH,Sedan,25.3,136.0,80.0,70.8,17.9,27.2,not in demand
EV0627,LiFePO4,Sedan,36.5,489.3,51.9,35.4,42.4,97.86,in demand
EV1590,Li-ion,Sedan,24.2,95.7,12.8,57.0,18.5,19.14,not in demand
EV2224,NiMH,SUV,8.8,438.9,9.9,71.8,42.8,87.78,in demand
EV2218,Li-ion,Truck,23.1,7.9,2.0,64.1,110.0,1.58,not in demand
EV0526,Li-ion,Truck,16.7,156.4,30.7,89.1,11.3,31.28,not in demand
EV1486,Li-ion,SUV,4.0,261.6,9.9,71.4,28.1,52.32,in demand
EV1740,LiFePO4,Sedan,-8.1,188.6,94.7,43.6,102.5,37.72,not in demand
EV2481,Li-ion,Hatchback,14.9,96.1,61.2,23.6,72.8,19.22,not in demand
EV2585,Li-ion,Sedan,23.4,271.1,12.9,84.8,7.8,54.22,in demand
EV2894,LiFePO4,Hatchback,16.0,303.3,69.1,99.7,1.1,60.66,in demand
EV0150,Li-ion,Hatchback,24.5,337.1,50.2,47.0,53.1,67.42,in demand
EV0677,Li-ion,Sedan,4.7,240.1,89.3,79.1,5.1,48.02,in demand
EV1262,Li-ion,Hatchback,42.6,72.1,54.7,40.2,21.9,14.42,not in demand
EV1570,LiFePO4,Truck,8.9,54.1,71.9,71.8,43.7,10.82,not in demand
EV0013,Li-ion,Truck,17.1,457.2,96.9,43.4,107.8,91.44,in demand
EV1834,Li-ion,Sedan,5.9,15.2,61.3,91.4,48.6,3.04,not in demand
EV3249,NiMH,Truck,-2.2,19.2,89.8,63.7,26.3,3.84,not in demand
EV1492,LiFePO4,Sedan,-6.5,373.9,84.2,91.3,28.7,74.78,in demand
EV2728,NiMH,Truck,22.9,395.1,95.1,75.9,81.0,79.02,in demand
EV1118,LiFePO4,SUV,36.8,107.3,77.6,56.9,66.1,21.46,not in demand
EV1425,Li-ion,Hatchback,6.6,385.2,78.3,38.9,75.7,77.04,in demand
EV0818,LiFePO4,Truck,3.2,0.8,10.2,62.6,29.6,0.16,not in demand
EV0360,Li-ion,SUV,30.2,85.7,26.7,23.1,3.4,17.14,not in demand
EV0732,Li-ion,SUV,42.4,271.8,91.0,37.1,54.8,54.36,in demand
EV1232,LiFePO4,SUV,29.0,484.0,0.8,88.9,46.4,96.8,in demand
EV1635,Li-ion,Truck,30.4,250.7,73.4,96.2,115.7,50.14,in demand
EV3208,Li-ion,Sedan,43.1,349.6,77.4,40.4,33.7,69.92,in demand
EV1211,NiMH,Truck,-3.8,169.5,30.8,85.7,49.7,33.9,not in demand
EV3269,Li-ion,Truck,2.9,205.6,4.0,95.3,116.6,41.12,in demand
EV1935,NiMH,Hatchback,-5.7,232.3,43.3,61.8,59.9,46.46,in demand
EV0554,Li-ion,Truck,22.9,354.3,2.4,75.1,109.6,70.86,in demand
EV0492,NiMH,Hatchback,38.7,369.4,35.5,57.9,77.0,73.88,in demand
EV2963,NiMH,Sedan,5.0,324.8,20.0,56.1,74.4,64.96,in demand
EV2330,Li-ion,Truck,38.8,271.6,28.5,83.6,53.4,54.32,in demand
EV2196,NiMH,SUV,-4.4,323.6,2.2,33.0,17.3,64.72,in demand
EV3065,Li-ion,Hatchback,18.0,90.4,84.0,99.1,80.5,18.08,not in demand
EV0658,LiFePO4,Hatchback,-5.5,195.4,88.7,49.0,55.9,39.08,not in demand
EV2375,LiFePO4,Hatchback,36.9,368.8,20.8,76.0,87.9,73.76,in demand
EV2226,NiMH,Truck,20.9,11.1,12.6,62.5,90.3,2.22,not in demand
EV2232,Li-ion,Sedan,-5.8,237.7,92.8,74.8,83.8,47.54,in demand
EV1171,Li-ion,Hatchback,-1.3,403.0,24.2,90.7,82.0,80.6,in demand
EV0133,Li-ion,Hatchback,20.0,283.5,69.7,68.8,48.0,56.7,in demand
EV0472,NiMH,Sedan,25.1,198.4,8.5,66.4,91.8,39.68,not in demand
EV3226,Li-ion,Hatchback,23.4,78.0,93.5,56.0,92.0,15.6,not in demand
EV1406,LiFePO4,Sedan,29.7,395.4,62.7,65.5,63.6,79.08,in demand
EV2877,Li-ion,Hatchback,36.8,51.6,68.6,46.1,93.5,10.32,not in demand
EV0142,LiFePO4,Sedan,41.8,192.6,83.5,65.9,3.1,38.52,not in demand
EV2150,LiFePO4,Truck,1.9,212.6,52.9,99.6,18.2,42.52,in demand
EV2827,LiFePO4,SUV,19.2,78.6,37.9,98.8,52.5,15.72,not in demand
EV0288,NiMH,Hatchback,16.1,194.3,86.8,78.6,62.2,38.86,not in demand
EV1870,Li-ion,Hatchback,36.4,330.9,97.7,82.6,83.0,66.18,in demand
EV3115,Li-ion,Hatchback,17.0,416.4,25.7,32.2,5.0,83.28,in demand
