station_id,destination_id,hour,temperature,humidity,weekday,is_holiday,passenger_volume_last_hour,weather_condition,day_type,passenger_flow
105,201,10:00,36.3,46,Monday,Yes,491,Rainy,Weekend,High
101,201,14:00,27.5,58,Tuesday,Yes,370,Rainy,WorkingDay,Low
103,201,06:00,36.3,36,Thursday,No,316,Clear,Weekend,Medium
105,201,14:00,31.6,81,Saturday,Yes,809,Cloudy,Weekend,Low
104,203,10:00,32.2,73,Wednesday,No,956,Rainy,Weekend,Low
105,204,12:00,39.7,30,Sunday,No,669,Cloudy,Weekend,Low
104,201,16:00,33.9,32,Saturday,No,755,Clear,Weekend,Medium
101,205,18:00,35,89,Thursday,Yes,373,Cloudy,WorkingDay,Medium
101,201,08:00,23.2,40,Thursday,No,545,Cloudy,Weekend,High
103,202,16:00,29,62,Monday,Yes,147,Foggy,Weekend,High
103,205,06:00,27.6,78,Sunday,No,161,Clear,Weekend,High
103,202,18:00,34.5,72,Saturday,Yes,559,Clear,WorkingDay,High
105,203,12:00,20.1,61,Monday,Yes,624,Clear,Weekend,Low
105,204,06:00,38,63,Thursday,Yes,826,Cloudy,WorkingDay,High
103,201,18:00,30.9,40,Monday,No,757,Foggy,WorkingDay,Medium
103,205,14:00,23.2,54,Saturday,No,756,Rainy,Weekend,Low
102,205,06:00,35.4,68,Sunday,No,894,Rainy,Weekend,High
104,203,18:00,29.1,34,Sunday,No,749,Cloudy,Weekend,Medium
103,204,08:00,37.5,76,Monday,Yes,476,Clear,WorkingDay,Low
103,203,14:00,23.7,45,Wednesday,No,315,Rainy,WorkingDay,Low
102,201,10:00,31.7,88,Thursday,No,975,Foggy,WorkingDay,Medium
104,203,10:00,39.4,76,Monday,Yes,248,Cloudy,WorkingDay,High
104,204,16:00,33.6,56,Monday,No,521,Clear,WorkingDay,Low
105,205,08:00,27.1,78,Monday,Yes,286,Foggy,Weekend,Medium
105,202,06:00,34.6,62,Friday,Yes,478,Cloudy,Weekend,Medium
104,205,08:00,23.3,78,Wednesday,No,625,Cloudy,WorkingDay,Low
104,203,06:00,37.3,70,Monday,Yes,880,Clear,WorkingDay,Medium
104,205,12:00,25,74,Friday,Yes,920,Cloudy,Weekend,Low
103,205,06:00,25.2,89,Friday,Yes,243,Clear,WorkingDay,Low
104,203,08:00,21.3,62,Friday,No,745,Cloudy,WorkingDay,Low
102,205,10:00,32.4,88,Saturday,No,309,Foggy,WorkingDay,High
104,201,08:00,34.4,85,Wednesday,No,913,Rainy,Weekend,High
102,203,12:00,20,42,Wednesday,No,240,Foggy,WorkingDay,High
105,201,18:00,31.4,87,Friday,No,490,Cloudy,WorkingDay,High
102,205,14:00,34.8,80,Wednesday,Yes,792,Clear,Weekend,Low
104,205,16:00,32.1,55,Sunday,No,128,Cloudy,WorkingDay,Low
104,205,16:00,21,88,Sunday,Yes,464,Rainy,WorkingDay,Medium
102,204,14:00,38.8,36,Tuesday,Yes,278,Foggy,Weekend,Low
103,204,16:00,24.2,33,Thursday,No,921,Clear,WorkingDay,High
102,205,10:00,32.4,88,Saturday,No,309,Foggy,WorkingDay,High
104,205,20:00,35,54,Thursday,No,953,Cloudy,WorkingDay,High
105,202,14:00,39.8,42,Wednesday,Yes,267,Cloudy,Weekend,High
102,205,14:00,25.2,34,Monday,No,275,Cloudy,WorkingDay,High
101,203,12:00,34.9,55,Thursday,No,840,Rainy,Weekend,High
102,201,18:00,38.5,52,Wednesday,No,868,Foggy,WorkingDay,High
104,201,08:00,35.6,40,Sunday,Yes,972,Foggy,Weekend,Medium
104,201,06:00,21.7,37,Friday,No,519,Cloudy,Weekend,Medium
105,201,18:00,29.1,31,Saturday,Yes,601,Rainy,Weekend,Medium
104,205,10:00,33.3,31,Wednesday,No,489,Rainy,WorkingDay,Low
105,204,10:00,25.4,68,Sunday,Yes,253,Clear,WorkingDay,High
102,205,16:00,37.5,58,Sunday,No,799,Clear,Weekend,Low
103,201,14:00,31.9,41,Sunday,No,106,Rainy,Weekend,Low
104,204,12:00,36.3,86,Saturday,No,671,Cloudy,Weekend,High
104,205,08:00,25.2,64,Tuesday,No,343,Rainy,Weekend,Low
101,203,12:00,25.2,30,Thursday,Yes,403,Foggy,Weekend,Medium
105,205,14:00,39.8,88,Friday,Yes,683,Cloudy,Weekend,Medium
105,205,06:00,21.7,48,Saturday,Yes,747,Rainy,Weekend,Medium
104,204,06:00,31.8,47,Saturday,Yes,395,Cloudy,Weekend,Medium
101,204,08:00,30,63,Wednesday,No,116,Rainy,WorkingDay,High
101,201,14:00,35.3,58,Saturday,Yes,417,Cloudy,Weekend,Medium
104,205,12:00,23.5,74,Thursday,No,500,Clear,Weekend,Low
101,205,16:00,30.8,84,Friday,Yes,919,Clear,Weekend,Low
105,205,18:00,27.8,69,Monday,No,110,Rainy,WorkingDay,Low
103,205,08:00,25,31,Tuesday,Yes,486,Rainy,Weekend,Low
102,205,12:00,23.5,30,Monday,Yes,850,Rainy,WorkingDay,Medium
101,203,12:00,35.2,39,Sunday,Yes,332,Cloudy,Weekend,Medium
102,203,12:00,30,76,Thursday,Yes,327,Cloudy,Weekend,Medium
104,201,14:00,28,39,Friday,No,857,Foggy,WorkingDay,Low
105,204,10:00,30.7,76,Friday,Yes,327,Rainy,WorkingDay,High
101,202,08:00,29,39,Monday,No,369,Clear,WorkingDay,Medium
103,204,18:00,36.3,73,Wednesday,Yes,488,Cloudy,Weekend,Low
104,202,08:00,37.4,76,Wednesday,No,384,Rainy,WorkingDay,Low
105,205,10:00,32.6,52,Thursday,Yes,788,Clear,Weekend,Low
104,202,18:00,23.5,50,Thursday,Yes,937,Cloudy,Weekend,Low
103,203,10:00,29.3,42,Saturday,Yes,219,Foggy,WorkingDay,Medium
103,201,06:00,39,33,Wednesday,Yes,237,Foggy,Weekend,Medium
103,205,08:00,23.3,85,Wednesday,Yes,900,Cloudy,WorkingDay,Medium
103,204,16:00,24.2,33,Thursday,No,921,Clear,WorkingDay,High
102,205,10:00,32.4,88,Saturday,No,309,Foggy,WorkingDay,High
104,203,10:00,39.4,76,Monday,Yes,248,Cloudy,WorkingDay,High
105,204,10:00,33.8,85,Saturday,Yes,449,Clear,WorkingDay,Medium
101,204,08:00,27.2,58,Sunday,Yes,781,Cloudy,WorkingDay,Low
103,203,08:00,32.1,30,Thursday,No,980,Clear,Weekend,Medium
104,204,14:00,34.1,78,Sunday,Yes,929,Foggy,Weekend,Low
103,204,16:00,24.2,33,Thursday,No,921,Clear,WorkingDay,High
105,203,14:00,28.3,34,Thursday,Yes,914,Cloudy,Weekend,Medium
104,202,10:00,23.1,42,Saturday,No,715,Rainy,Weekend,High
101,202,14:00,26.2,77,Friday,No,559,Cloudy,WorkingDay,Medium
105,205,20:00,38.5,39,Tuesday,No,884,Foggy,WorkingDay,High
102,201,06:00,30.6,71,Thursday,No,455,Rainy,WorkingDay,Medium
105,204,10:00,28,48,Thursday,Yes,703,Cloudy,Weekend,Medium
105,201,06:00,34.3,47,Thursday,Yes,370,Foggy,Weekend,Medium
101,205,14:00,38.8,31,Sunday,No,291,Rainy,WorkingDay,High
102,202,12:00,21.6,73,Saturday,Yes,271,Foggy,Weekend,Low
102,201,06:00,30.6,71,Thursday,No,455,Rainy,WorkingDay,Medium
105,201,18:00,37.9,44,Tuesday,No,261,Cloudy,WorkingDay,High
105,205,18:00,24.5,38,Monday,No,894,Rainy,Weekend,High
103,201,14:00,36.1,73,Friday,No,439,Cloudy,Weekend,Medium
102,201,08:00,31.4,89,Saturday,No,801,Foggy,Weekend,Medium
101,201,14:00,20.4,75,Saturday,No,684,Clear,WorkingDay,Low
105,203,10:00,29.3,87,Sunday,Yes,415,Rainy,Weekend,Low
103,203,12:00,33.9,86,Monday,Yes,501,Rainy,Weekend,Low
105,201,14:00,29.6,56,Saturday,Yes,628,Clear,WorkingDay,Low
102,202,08:00,27,40,Tuesday,No,512,Rainy,WorkingDay,Low
102,203,08:00,30.6,82,Tuesday,No,715,Rainy,Weekend,Medium
105,202,12:00,25.6,48,Tuesday,No,915,Foggy,Weekend,High
102,203,08:00,38.3,83,Sunday,Yes,763,Foggy,Weekend,Medium
101,201,18:00,23.2,65,Friday,Yes,357,Foggy,WorkingDay,Low
103,201,18:00,35.8,66,Saturday,Yes,939,Cloudy,WorkingDay,High
102,204,10:00,22.9,73,Friday,Yes,829,Cloudy,WorkingDay,High
104,205,20:00,34.1,69,Tuesday,No,141,Foggy,Weekend,High
103,203,14:00,21.7,62,Thursday,No,216,Rainy,Weekend,Medium
101,201,20:00,28.4,41,Sunday,No,253,Cloudy,WorkingDay,Medium
103,202,06:00,38,49,Wednesday,No,353,Clear,WorkingDay,Medium
105,205,16:00,39.3,34,Thursday,No,136,Foggy,Weekend,Medium
101,204,16:00,35.7,72,Tuesday,No,479,Foggy,WorkingDay,Low
105,203,16:00,31.8,37,Wednesday,No,494,Rainy,WorkingDay,Medium
104,203,08:00,31.1,51,Thursday,Yes,960,Clear,Weekend,Medium
103,202,20:00,20.7,44,Sunday,Yes,139,Foggy,WorkingDay,Low
105,204,10:00,23.1,38,Sunday,Yes,253,Rainy,WorkingDay,High
104,203,08:00,21.3,62,Friday,No,745,Cloudy,WorkingDay,Low
103,203,14:00,21.7,62,Thursday,No,216,Rainy,Weekend,Medium
104,205,08:00,23.3,78,Wednesday,No,625,Cloudy,WorkingDay,Low
104,204,08:00,26.6,83,Tuesday,No,666,Clear,WorkingDay,Medium
102,203,08:00,38.3,83,Sunday,Yes,763,Foggy,Weekend,Medium
105,202,12:00,20.7,87,Monday,No,358,Rainy,Weekend,High
104,205,16:00,27.5,31,Friday,No,899,Foggy,WorkingDay,Low
105,201,10:00,23.6,66,Saturday,Yes,377,Foggy,WorkingDay,Low
101,201,12:00,28.2,86,Tuesday,Yes,858,Cloudy,Weekend,Low
102,203,08:00,38.7,61,Saturday,Yes,583,Clear,WorkingDay,Low
101,204,16:00,31.1,80,Saturday,No,546,Clear,WorkingDay,High
104,205,06:00,33.9,72,Friday,Yes,345,Rainy,Weekend,High
102,203,18:00,33.4,61,Sunday,No,877,Foggy,Weekend,Low
101,201,14:00,37.2,78,Sunday,No,791,Clear,Weekend,Low
102,205,18:00,29.5,59,Saturday,No,471,Cloudy,Weekend,Medium
104,201,10:00,26.6,72,Tuesday,No,142,Foggy,WorkingDay,High
101,202,16:00,25.5,57,Saturday,Yes,775,Cloudy,Weekend,Low
102,205,20:00,27.3,55,Wednesday,Yes,419,Cloudy,Weekend,High
103,204,08:00,22.7,79,Tuesday,Yes,735,Clear,Weekend,Medium
103,205,18:00,24.3,78,Wednesday,Yes,892,Clear,WorkingDay,Low
102,203,12:00,36.9,49,Wednesday,Yes,251,Foggy,WorkingDay,Low
103,205,10:00,37.9,40,Tuesday,No,739,Cloudy,WorkingDay,Low
101,203,20:00,25.2,85,Thursday,Yes,673,Foggy,Weekend,Medium
102,203,08:00,29,70,Tuesday,Yes,260,Rainy,WorkingDay,High
102,203,12:00,37.7,30,Saturday,No,838,Cloudy,Weekend,High
103,205,14:00,21.1,53,Sunday,Yes,591,Cloudy,WorkingDay,Medium
103,204,08:00,37.5,76,Monday,Yes,476,Clear,WorkingDay,Low
103,201,18:00,36.5,34,Monday,Yes,872,Cloudy,Weekend,Low
104,201,16:00,39.3,73,Friday,No,784,Foggy,WorkingDay,High
101,204,20:00,20.4,43,Saturday,No,376,Foggy,WorkingDay,High
101,204,10:00,36.5,39,Friday,Yes,771,Rainy,Weekend,Low
104,205,08:00,25.2,64,Tuesday,No,343,Rainy,Weekend,Low
101,201,18:00,22.6,70,Tuesday,Yes,712,Clear,WorkingDay,High
104,202,06:00,32.4,80,Sunday,No,180,Cloudy,WorkingDay,Low
101,201,20:00,39.4,67,Tuesday,Yes,965,Clear,WorkingDay,Medium
101,204,14:00,23,83,Tuesday,No,619,Foggy,WorkingDay,Low
101,204,08:00,29.8,68,Saturday,No,711,Rainy,WorkingDay,Low
102,203,12:00,36.9,49,Wednesday,Yes,251,Foggy,WorkingDay,Low
103,203,10:00,29.5,55,Saturday,No,573,Clear,WorkingDay,High
102,201,10:00,26.5,48,Thursday,No,823,Cloudy,WorkingDay,High
102,201,08:00,29.9,87,Friday,Yes,600,Foggy,Weekend,Low
102,202,10:00,33.5,81,Tuesday,Yes,950,Foggy,WorkingDay,Low
103,202,16:00,37.3,61,Wednesday,No,574,Clear,WorkingDay,High
105,202,14:00,27.1,76,Friday,Yes,602,Rainy,Weekend,High
105,203,14:00,28.3,34,Thursday,Yes,914,Cloudy,Weekend,Medium
105,201,08:00,34.3,56,Saturday,No,168,Foggy,WorkingDay,Low
101,203,06:00,26.7,81,Thursday,Yes,114,Rainy,Weekend,Low
101,201,10:00,31.7,57,Wednesday,Yes,968,Rainy,Weekend,Low
101,201,20:00,39.4,67,Tuesday,Yes,965,Clear,WorkingDay,Medium
105,203,14:00,30.7,66,Sunday,Yes,363,Foggy,Weekend,Medium
103,204,10:00,32.9,81,Thursday,Yes,588,Foggy,Weekend,Medium
103,205,18:00,28.7,74,Sunday,No,752,Foggy,WorkingDay,Low
102,205,14:00,35.4,56,Saturday,No,194,Cloudy,Weekend,High
103,204,18:00,36.3,73,Wednesday,Yes,488,Cloudy,Weekend,Low
104,203,10:00,32.2,73,Wednesday,No,956,Rainy,Weekend,Low
103,205,08:00,39.2,86,Wednesday,No,130,Cloudy,Weekend,Low
105,203,14:00,28.3,34,Thursday,Yes,914,Cloudy,Weekend,Medium
105,203,18:00,28,57,Sunday,Yes,174,Clear,Weekend,High
103,202,16:00,37.3,61,Wednesday,No,574,Clear,WorkingDay,High
102,205,14:00,35.4,56,Saturday,No,194,Cloudy,Weekend,High
103,204,10:00,30.4,74,Tuesday,Yes,525,Foggy,Weekend,Low
105,201,14:00,29.2,63,Monday,Yes,513,Cloudy,WorkingDay,Low
105,201,14:00,31.6,81,Saturday,Yes,809,Cloudy,Weekend,Low
105,201,14:00,29.6,56,Saturday,Yes,628,Clear,WorkingDay,Low
102,204,12:00,30.7,62,Thursday,Yes,789,Rainy,Weekend,High
105,204,16:00,21.1,70,Sunday,Yes,175,Clear,Weekend,Low
102,203,06:00,32.8,68,Tuesday,No,803,Clear,WorkingDay,Medium
101,202,14:00,34.3,34,Sunday,Yes,734,Cloudy,Weekend,Medium
104,201,08:00,33,78,Monday,No,703,Foggy,Weekend,High
104,205,14:00,40,67,Sunday,Yes,870,Rainy,WorkingDay,Medium
104,202,20:00,33.7,52,Tuesday,Yes,849,Foggy,WorkingDay,Medium
105,201,06:00,23.8,34,Saturday,Yes,846,Foggy,WorkingDay,Medium
105,205,18:00,27.8,69,Monday,No,110,Rainy,WorkingDay,Low
103,203,10:00,29.3,42,Saturday,Yes,219,Foggy,WorkingDay,Medium
105,203,08:00,30,37,Tuesday,No,360,Clear,Weekend,Low
103,201,06:00,38.3,38,Thursday,Yes,939,Clear,WorkingDay,Low
102,205,10:00,39.3,64,Sunday,Yes,799,Foggy,Weekend,Medium
105,202,18:00,24.6,68,Thursday,Yes,297,Cloudy,WorkingDay,Low
103,201,06:00,36.2,64,Wednesday,Yes,917,Foggy,Weekend,Medium
101,202,12:00,24.7,43,Friday,Yes,509,Rainy,Weekend,Low
102,203,12:00,30,76,Thursday,Yes,327,Cloudy,Weekend,Medium
101,203,20:00,25.2,85,Thursday,Yes,673,Foggy,Weekend,Medium
102,203,08:00,29,70,Tuesday,Yes,260,Rainy,WorkingDay,High
105,205,18:00,27.8,69,Monday,No,110,Rainy,WorkingDay,Low
105,202,06:00,34.6,62,Friday,Yes,478,Cloudy,Weekend,Medium
105,205,06:00,28.4,88,Sunday,Yes,183,Clear,Weekend,Low
104,203,18:00,33,82,Thursday,Yes,216,Clear,WorkingDay,High
103,205,16:00,22.6,80,Friday,No,784,Foggy,Weekend,High
105,203,12:00,29.3,51,Saturday,Yes,413,Foggy,WorkingDay,Low
101,202,06:00,36.6,75,Wednesday,No,429,Foggy,Weekend,Low
105,203,08:00,27.5,87,Sunday,No,758,Rainy,Weekend,Low
103,204,12:00,31.8,87,Saturday,Yes,422,Clear,Weekend,Medium
103,202,20:00,20.7,44,Sunday,Yes,139,Foggy,WorkingDay,Low
105,205,10:00,32.1,64,Wednesday,Yes,674,Foggy,WorkingDay,Low
101,201,10:00,37.6,48,Sunday,Yes,435,Clear,WorkingDay,Low
103,204,10:00,29.1,79,Sunday,Yes,298,Rainy,Weekend,Low
103,203,10:00,31.7,37,Friday,No,122,Foggy,WorkingDay,High
105,202,14:00,39.8,42,Wednesday,Yes,267,Cloudy,Weekend,High
105,201,10:00,36.3,46,Monday,Yes,491,Rainy,Weekend,High
105,205,16:00,39.3,34,Thursday,No,136,Foggy,Weekend,Medium
101,203,14:00,36,84,Sunday,Yes,575,Clear,Weekend,Medium
104,203,06:00,31.6,51,Friday,Yes,150,Cloudy,Weekend,High
104,205,10:00,34.4,89,Wednesday,Yes,931,Cloudy,WorkingDay,Medium
102,205,08:00,36.7,89,Sunday,Yes,286,Foggy,WorkingDay,Low
102,204,14:00,36.1,78,Saturday,No,116,Clear,WorkingDay,Low
105,202,06:00,26.5,47,Sunday,No,106,Clear,Weekend,Low
102,201,14:00,20.8,44,Wednesday,No,153,Rainy,WorkingDay,High
102,205,12:00,23.5,30,Monday,Yes,850,Rainy,WorkingDay,Medium
105,205,08:00,28.2,82,Monday,Yes,475,Foggy,WorkingDay,Low
103,204,06:00,32.2,37,Monday,No,134,Foggy,WorkingDay,High
101,202,16:00,25.5,57,Saturday,Yes,775,Cloudy,Weekend,Low
101,201,18:00,30.2,38,Thursday,No,651,Rainy,Weekend,Medium
103,204,12:00,24.8,80,Thursday,No,210,Foggy,Weekend,Low
104,204,18:00,21.8,76,Monday,Yes,220,Foggy,WorkingDay,High
102,201,14:00,36.7,46,Sunday,No,352,Rainy,Weekend,Medium
101,201,14:00,27.5,58,Tuesday,Yes,370,Rainy,WorkingDay,Low
101,204,16:00,24.4,79,Thursday,Yes,568,Rainy,WorkingDay,Low
105,201,16:00,24,53,Monday,Yes,162,Cloudy,WorkingDay,High
102,202,12:00,21.6,73,Saturday,Yes,271,Foggy,Weekend,Low
101,204,14:00,23,83,Tuesday,No,619,Foggy,WorkingDay,Low
104,201,14:00,36.4,41,Saturday,No,934,Foggy,WorkingDay,High
102,201,16:00,20.5,42,Sunday,No,790,Rainy,WorkingDay,High
103,204,08:00,31.8,46,Thursday,Yes,893,Clear,Weekend,High
105,204,10:00,23.1,38,Sunday,Yes,253,Rainy,WorkingDay,High
104,202,16:00,38.9,45,Saturday,No,668,Cloudy,Weekend,Medium
102,205,14:00,34.8,80,Wednesday,Yes,792,Clear,Weekend,Low
102,204,06:00,20.3,31,Saturday,No,439,Rainy,WorkingDay,Low
103,204,14:00,37.8,52,Tuesday,No,242,Cloudy,WorkingDay,High
101,204,14:00,32,65,Saturday,No,391,Cloudy,Weekend,Medium
105,201,20:00,23.3,56,Thursday,Yes,748,Cloudy,Weekend,Medium
101,204,16:00,35.7,72,Tuesday,No,479,Foggy,WorkingDay,Low
102,205,16:00,37.5,58,Sunday,No,799,Clear,Weekend,Low
102,203,14:00,26,48,Saturday,No,276,Rainy,WorkingDay,Medium
103,205,18:00,26.1,31,Wednesday,Yes,921,Clear,WorkingDay,Low
101,204,16:00,31.1,80,Saturday,No,546,Clear,WorkingDay,High
103,205,12:00,32.7,62,Tuesday,Yes,250,Rainy,WorkingDay,Medium
105,203,12:00,20.1,61,Monday,Yes,624,Clear,Weekend,Low
102,202,10:00,33.5,81,Tuesday,Yes,950,Foggy,WorkingDay,Low
104,201,08:00,35.6,40,Sunday,Yes,972,Foggy,Weekend,Medium
103,201,14:00,31.9,41,Sunday,No,106,Rainy,Weekend,Low
102,201,12:00,38.5,36,Monday,No,309,Clear,Weekend,Low
105,201,14:00,22.6,84,Saturday,No,947,Rainy,WorkingDay,Low
103,204,06:00,32.2,37,Monday,No,134,Foggy,WorkingDay,High
102,205,10:00,32.4,88,Saturday,No,309,Foggy,WorkingDay,High
102,205,10:00,39.3,64,Sunday,Yes,799,Foggy,Weekend,Medium
104,201,14:00,28,39,Friday,No,857,Foggy,WorkingDay,Low
101,201,10:00,38.4,39,Thursday,No,923,Cloudy,Weekend,High
102,203,18:00,33.4,61,Sunday,No,877,Foggy,Weekend,Low
104,201,08:00,27.1,66,Wednesday,Yes,185,Clear,WorkingDay,Medium
103,205,10:00,37.9,40,Tuesday,No,739,Cloudy,WorkingDay,Low
102,204,16:00,33.4,40,Wednesday,No,283,Foggy,Weekend,Medium
105,201,18:00,28.2,44,Monday,No,137,Foggy,Weekend,High
101,204,16:00,31.1,80,Saturday,No,546,Clear,WorkingDay,High
105,201,10:00,36.3,46,Monday,Yes,491,Rainy,Weekend,High
104,203,18:00,33.4,62,Sunday,Yes,552,Cloudy,WorkingDay,Medium
104,202,18:00,36.5,39,Sunday,Yes,971,Cloudy,Weekend,Medium
104,204,16:00,37.2,64,Tuesday,No,599,Rainy,WorkingDay,Medium
101,202,12:00,21.7,64,Monday,Yes,352,Clear,Weekend,Low
102,204,08:00,39.6,60,Wednesday,Yes,105,Rainy,Weekend,Low
105,205,18:00,22.3,82,Tuesday,Yes,141,Rainy,Weekend,High
103,204,12:00,32.3,63,Tuesday,No,905,Foggy,WorkingDay,High
104,201,08:00,32.3,54,Thursday,No,810,Clear,WorkingDay,High
101,202,06:00,29.5,38,Thursday,Yes,812,Foggy,WorkingDay,Medium
105,204,10:00,30.7,76,Friday,Yes,327,Rainy,WorkingDay,High
104,203,18:00,33.4,62,Sunday,Yes,552,Cloudy,WorkingDay,Medium
102,201,08:00,29.9,87,Friday,Yes,600,Foggy,Weekend,Low
102,203,12:00,37.7,30,Saturday,No,838,Cloudy,Weekend,High
104,205,18:00,23.1,77,Friday,No,672,Rainy,WorkingDay,Medium
101,201,18:00,27.4,68,Thursday,Yes,195,Cloudy,WorkingDay,Medium
101,205,10:00,25.8,88,Friday,Yes,610,Rainy,Weekend,Medium
105,201,18:00,28.2,44,Monday,No,137,Foggy,Weekend,High
103,205,18:00,21,81,Sunday,No,449,Clear,WorkingDay,Medium
101,201,10:00,20.7,49,Friday,Yes,360,Clear,Weekend,High
101,204,16:00,31.1,80,Saturday,No,546,Clear,WorkingDay,High
104,204,16:00,33.6,56,Monday,No,521,Clear,WorkingDay,Low
101,203,12:00,27.6,30,Friday,Yes,395,Cloudy,Weekend,Medium
103,205,08:00,22.2,86,Thursday,Yes,443,Cloudy,Weekend,Low
104,203,08:00,31.1,51,Thursday,Yes,960,Clear,Weekend,Medium
105,205,16:00,33.4,50,Thursday,No,834,Rainy,WorkingDay,Medium
105,205,06:00,30.1,30,Friday,No,424,Clear,WorkingDay,Medium
102,201,10:00,26.5,48,Thursday,No,823,Cloudy,WorkingDay,High
102,201,18:00,38.5,52,Wednesday,No,868,Foggy,WorkingDay,High
101,205,16:00,34.2,48,Tuesday,Yes,544,Foggy,Weekend,Low
101,204,20:00,38.6,89,Friday,No,335,Cloudy,WorkingDay,Medium
103,202,18:00,36.6,58,Saturday,Yes,623,Rainy,WorkingDay,High
104,201,08:00,38.2,87,Sunday,Yes,998,Cloudy,Weekend,High
103,203,18:00,28.2,52,Sunday,No,835,Rainy,Weekend,High
104,202,14:00,28.2,59,Tuesday,No,194,Rainy,Weekend,Medium
